rank,slug,title,category,priority,governance_state,verification_score_percent,priority_score,score_before_priority_floor,priority_floor_applied,queue_band,queue_label,risk_points,search_demand_tier,search_demand_points,search_demand_source,search_demand_source_field,temporary_proxy_match,escalation_frequency_tier,escalation_frequency_points,escalation_frequency_source,business_criticality_tier,business_criticality_points,business_criticality_source,evidence_readiness_points,promotion_ready,missing_requirements
11,troubleshoot-vpn-certificate-failure,Troubleshoot VPN certificate failure,Network & Connectivity,P1,under_review,22,62,62,false,next,Next verification batch,30,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
12,troubleshoot-vpn-disconnections,Troubleshoot VPN disconnections,Network & Connectivity,P1,under_review,22,62,62,false,next,Next verification batch,30,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
13,troubleshoot-linux-vpn,Troubleshoot Linux VPN,Linux & Developer Workstations,P2,under_review,24,52,52,false,next,Next verification batch,20,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
14,troubleshoot-macos-vpn,Troubleshoot macOS VPN,macOS Endpoints,P2,under_review,24,52,52,false,next,Next verification batch,20,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
15,troubleshoot-mobile-vpn,Troubleshoot mobile VPN,Mobile Devices & MDM,P2,under_review,24,52,52,false,next,Next verification batch,20,very_high,30,temporary_topic_proxy,metadata_only,vpn,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
16,troubleshoot-repeated-mfa-prompts,Troubleshoot repeated MFA prompts,Identity & Access Management,P2,under_review,24,52,52,false,next,Next verification batch,20,very_high,30,temporary_topic_proxy,metadata_only,mfa,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
17,troubleshoot-windows-no-boot-or-boot-loop,Troubleshoot Windows no-boot or boot loop,Windows Endpoints,P2,under_review,24,52,52,false,next,Next verification batch,20,very_high,30,temporary_topic_proxy,metadata_only,no boot,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments"
18,resolve-a-duplicate-ip-address,Resolve a duplicate IP address,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
19,resolve-a-network-access-control-block,Resolve a Network Access Control block,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
20,respond-to-a-suspected-malware-infection,Respond to a suspected malware infection,Security & Compliance,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,malware,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
21,triage-a-dns-service-issue,Triage a DNS service issue,Servers & Core Infrastructure,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,dns,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
22,triage-a-wireless-access-point-outage,Triage a wireless access point outage,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
23,troubleshoot-802-1x-authentication,Troubleshoot 802.1X authentication,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,authentication,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
24,troubleshoot-a-captive-portal,Troubleshoot a captive portal,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
25,troubleshoot-a-default-gateway-failure,Troubleshoot a default gateway failure,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
26,troubleshoot-a-firewall-blocked-application,Troubleshoot a firewall-blocked application,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
27,troubleshoot-a-teams-room-system-offline,Troubleshoot a Teams Room system offline,"Voice, Telephony & Meeting Rooms",P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
28,troubleshoot-dhcp-address-assignment,Troubleshoot DHCP address assignment,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
29,troubleshoot-scan-to-network-folder,Troubleshoot scan to network folder,Printing & Scanning,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
30,troubleshoot-slow-internet-access,Troubleshoot slow internet access,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
31,troubleshoot-split-tunnel-application-access,Troubleshoot split-tunnel application access,Network & Connectivity,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,network,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
32,troubleshoot-teams-calling,Troubleshoot Teams calling,Microsoft 365 & Collaboration,P1,under_review,22,52,52,false,next,Next verification batch,30,high,20,temporary_topic_proxy,metadata_only,teams,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
33,clear-a-stuck-windows-print-queue,Clear a stuck Windows print queue,Printing & Scanning,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,printing,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
34,collect-security-incident-evidence,Collect security incident evidence,Security & Compliance,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
35,configure-corporate-email-on-ios,Configure corporate email on iOS,Mobile Devices & MDM,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
36,correct-a-broken-file-association,Correct a broken file association,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
37,deprovision-a-departing-user-account,Deprovision a departing user account,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
38,document-a-ticket-to-enterprise-standard,Document a ticket to enterprise standard,Service Desk & ITSM,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
39,escalate-a-legal-hold-or-retention-request,Escalate a legal-hold or retention request,"Data Protection, Backup & Recovery",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
40,grant-shared-mailbox-access,Grant shared mailbox access,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
41,handle-a-sensitive-data-misdelivery,Handle a sensitive-data misdelivery,Security & Compliance,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
42,install-or-renew-a-mobile-certificate,Install or renew a mobile certificate,Mobile Devices & MDM,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
43,install-or-update-a-printer-driver,Install or update a printer driver,Printing & Scanning,P1,under_review,22,50,42,true,next,Next verification batch,30,medium,10,temporary_topic_proxy,metadata_only,printer,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
44,investigate-an-antivirus-or-edr-alert,Investigate an antivirus or EDR alert,Security & Compliance,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
45,investigate-repeated-account-lockouts,Investigate repeated account lockouts,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
46,migrate-a-user-profile,Migrate a user profile,"Data Protection, Backup & Recovery",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
47,perform-an-approved-remote-wipe,Perform an approved remote wipe,Mobile Devices & MDM,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
48,provision-a-device-with-windows-autopilot,Provision a device with Windows Autopilot,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
49,provision-a-new-user-account,Provision a new user account,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
50,provision-external-guest-access,Provision external guest access,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
51,provision-or-change-a-phone-extension,Provision or change a phone extension,"Voice, Telephony & Meeting Rooms",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
52,recover-a-deleted-email,Recover a deleted email,Microsoft 365 & Collaboration,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
53,recover-a-device-requesting-a-bitlocker-recovery-key,Recover a device requesting a BitLocker recovery key,Windows Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
54,recover-a-mac-requesting-a-filevault-recovery-key,Recover a Mac requesting a FileVault recovery key,macOS Endpoints,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
55,recover-access-after-a-lost-security-key,Recover access after a lost security key,Identity & Access Management,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
56,recover-data-from-a-failing-drive-safely,Recover data from a failing drive safely,"Data Protection, Backup & Recovery",P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
57,release-a-legitimate-email-from-quarantine,Release a legitimate email from quarantine,Microsoft 365 & Collaboration,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
58,remove-an-unauthorised-browser-extension,Remove an unauthorised browser extension,Security & Compliance,P1,under_review,22,50,32,true,next,Next verification batch,30,none,0,none,none,,none,0,none,none,0,none,2,false,"diagnostic_tested|remediation_tested|rollback_or_irreversibility_confirmed|escalation_confirmed|time_validated|expected_result_confirmed|owner_signoff|authoritative_source_provenance|last_tested|minimum_peer_reviewers|minimum_sme_reviewers|minimum_test_records|minimum_distinct_environments|negative_path_tested"
