slug,title,object_type,confidence,review_required,classification_origin,reason,legacy_severity,category
a-dhcp-service-issue,A DHCP service issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
a-disabled-user-account,A disabled user account,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Identity & Access Management
a-dns-service-issue,A DNS service issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
a-docking-station-display-issue,A docking station display issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Hardware & Peripherals
a-docking-station-power-issue,A docking station power issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Hardware & Peripherals
a-domain-trust-relationship-failure,A domain trust relationship failure,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Identity & Access Management
a-duplicate-ip-address,A duplicate IP address,known_condition,high,false,review_override,Duplicate IP address is a diagnosed technical condition rather than an initial user observation.,medium,Network & Connectivity
a-failed-endpoint-backup,A failed endpoint backup,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,"Data Protection, Backup & Recovery"
a-failed-keyboard,A failed keyboard,observable_symptom,high,false,review_override,A failed keyboard is an observable endpoint/peripheral condition before root cause is known.,high,Hardware & Peripherals
a-failed-mouse-or-pointing-device,A failed mouse or pointing device,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Hardware & Peripherals
a-failed-scheduled-task,A failed scheduled task,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Servers & Core Infrastructure
a-failed-server-backup,A failed server backup,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,"Data Protection, Backup & Recovery"
a-failed-systemd-service,A failed systemd service,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Linux & Developer Workstations
a-failing-storage-device,A failing storage device,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Hardware & Peripherals
a-file-from-enterprise-backup,A file from enterprise backup,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Data Protection, Backup & Recovery"
a-firewall-blocked-application,A firewall-blocked application,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,high,Network & Connectivity
a-frozen-citrix-session,A frozen Citrix session,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Remote Access, VDI & DaaS"
a-frozen-or-unresponsive-windows-session,A frozen or unresponsive Windows session,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Windows Endpoints
a-full-mailbox,A full mailbox,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
a-git-repository-clone,A Git repository clone,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Linux & Developer Workstations
a-google-drive-file-version,A Google Drive file version,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Google Workspace & Web Collaboration
a-google-workspace-storage-quota-issue,A Google Workspace storage quota issue,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Google Workspace & Web Collaboration
a-headset,A headset,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Hardware & Peripherals
a-home-network-remote-work-issue,A home-network remote-work issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Remote Access, VDI & DaaS"
a-hyper-v-virtual-machine-that-is-unresponsive,A Hyper-V virtual machine that is unresponsive,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Cloud & Virtualisation
a-java-based-business-application,A Java-based business application,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
a-label-printer,A label printer,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Printing & Scanning
a-laptop-battery-not-charging,A laptop battery not charging,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Windows Endpoints
a-laptop-display-with-no-image,A laptop display with no image,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,high,Hardware & Peripherals
a-legacy-application-compatibility-issue,A legacy application compatibility issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
a-load-balanced-application-endpoint,A load-balanced application endpoint,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Cloud & Virtualisation
a-local-development-port-conflict,A local development port conflict,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Linux & Developer Workstations
a-mac-requesting-a-filevault-recovery-key,A Mac requesting a FileVault recovery key,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,high,macOS Endpoints
a-macos-error-or-access-issue-is-reported,A macOS error or access issue is reported,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,macOS Endpoints
a-macos-kernel-panic,A macOS kernel panic,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,macOS Endpoints
a-macos-keychain-issue,A macOS Keychain issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,macOS Endpoints
a-mapped-drive-reconnect-failure,A mapped drive reconnect failure,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Network & Connectivity
a-missing-dll-or-runtime-dependency,A missing DLL or runtime dependency,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Windows Endpoints
a-mobile-work-profile,A mobile work profile,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Mobile Devices & MDM
a-network-access-control-block,A Network Access Control block,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Network & Connectivity
a-network-printer-that-is-unreachable,A network printer that is unreachable,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Printing & Scanning
a-network-share-access-failure,A network share access failure,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Network & Connectivity
a-onedrive-or-sharepoint-version,A OneDrive or SharePoint version,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Data Protection, Backup & Recovery"
a-onedrive-sign-in-loop,A OneDrive sign-in loop,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Microsoft 365 & Collaboration
a-paper-jam-safely,Paper jam needs to be cleared safely,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Printing & Scanning
a-patch-compliance-failure,A patch compliance failure,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Windows Endpoints
a-pdf-that-will-not-open,A PDF that will not open,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Business Applications & Browsers
a-print-server,A print server,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
a-print-server-outage,A print server outage,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,critical,Printing & Scanning
a-remote-desktop-black-screen,A Remote Desktop black screen,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Windows Endpoints
a-room-booking-panel,A room booking panel,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Voice, Telephony & Meeting Rooms"
a-room-mailbox,A room mailbox,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
a-saml-application-error,A SAML application error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
a-scanner-not-detected,A scanner not detected,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Printing & Scanning
a-security-or-compliance-concern-is-reported,A security or compliance concern is reported,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Security & Compliance
a-server-or-infrastructure-service-is-degraded,A server or infrastructure service is degraded,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
a-service-account,A service account,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Identity & Access Management
a-shared-mailbox,A shared mailbox,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
a-sharepoint-file-version,A SharePoint file version,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
a-site-internet-outage,A site internet outage,incident_event,high,false,deterministic_v2,Explicit incident/security/outage event language.,critical,Network & Connectivity
a-site-wide-lan-outage,A site-wide LAN outage,incident_event,high,false,deterministic_v2,Explicit incident/security/outage event language.,critical,Network & Connectivity
a-softphone-sign-in,A softphone sign-in,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Voice, Telephony & Meeting Rooms"
a-stopped-windows-server-service,A stopped Windows Server service,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
a-stuck-windows-print-queue,A stuck Windows print queue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Printing & Scanning
a-switch-port-issue,A switch-port issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Network & Connectivity
a-teams-phone-device,A Teams Phone device,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Voice, Telephony & Meeting Rooms"
a-teams-room-system-offline,A Teams Room system offline,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,"Voice, Telephony & Meeting Rooms"
a-temporary-windows-profile,A temporary Windows profile,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Windows Endpoints
a-usb-peripheral,A USB peripheral,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Hardware & Peripherals
a-vdi-profile-issue,A VDI profile issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Remote Access, VDI & DaaS"
a-vlan-assignment-issue,A VLAN assignment issue,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Network & Connectivity
a-vmware-virtual-machine-that-is-unresponsive,A VMware virtual machine that is unresponsive,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Cloud & Virtualisation
a-web-filter-block,A web-filter block,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Network & Connectivity
a-web-server-http-500-error,A web server HTTP 500 error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Servers & Core Infrastructure
a-web-server-http-503-error,A web server HTTP 503 error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Servers & Core Infrastructure
a-webcam-on-windows,A webcam on Windows,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Windows Endpoints
a-windows-certificate-service-request,A Windows certificate service request,service_request,high,false,deterministic_v2,Explicit request/need wording.,medium,Servers & Core Infrastructure
a-windows-device-that-will-not-power-on,A Windows device that will not power on,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Windows Endpoints
a-windows-error-or-performance-issue-is-reported,A Windows error or performance issue is reported,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Windows Endpoints
a-windows-file-share,A Windows file share,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
a-windows-server-that-is-unreachable,A Windows Server that is unreachable,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,critical,Servers & Core Infrastructure
a-windows-service-that-will-not-start,A Windows service that will not start,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Windows Endpoints
a-windows-update-failure,A Windows Update failure,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Windows Endpoints
a-wireless-access-point-outage,A wireless access point outage,incident_event,high,false,deterministic_v2,Explicit incident/security/outage event language.,critical,Network & Connectivity
a-zero-trust-network-client,A zero-trust network client,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Network & Connectivity
a-zoom-room-system,A Zoom Room system,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Voice, Telephony & Meeting Rooms"
access-after-a-lost-security-key,Access after a lost security key,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Identity & Access Management
access-is-denied-or-missing,Access is denied or missing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Identity & Access Management
access-to-a-departmental-share,Access to a departmental share,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Servers & Core Infrastructure
accidentally-deleted-local-files,Accidentally deleted local files,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
active-directory-replication,Active Directory replication,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Servers & Core Infrastructure
adobe-acrobat-sign-in,Adobe Acrobat sign-in,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Business Applications & Browsers
an-accidentally-deleted-file,An accidentally deleted file,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Data Protection, Backup & Recovery"
an-antivirus-false-positive,An antivirus false positive,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Security & Compliance
an-apipa-address,An APIPA address,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Network & Connectivity
an-application-access-denied-error,An application access-denied error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
an-application-role-assignment-failure,An application role assignment failure,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Identity & Access Management
an-application-that-crashes,An application that crashes,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Windows Endpoints
an-application-that-will-not-install,An application that will not install,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Windows Endpoints
an-application-timeout,An application timeout,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
an-asset-inventory-mismatch,An asset inventory mismatch,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Lifecycle & Asset Management
an-aws-ec2-instance-that-is-unreachable,An AWS EC2 instance that is unreachable,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Cloud & Virtualisation
an-azure-virtual-desktop-black-screen,An Azure Virtual Desktop black screen,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,"Remote Access, VDI & DaaS"
an-azure-virtual-desktop-sign-in,An Azure Virtual Desktop sign-in,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Remote Access, VDI & DaaS"
an-azure-virtual-machine-that-is-unreachable,An Azure virtual machine that is unreachable,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Cloud & Virtualisation
an-earlier-onedrive-file-version,An earlier OneDrive file version,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
an-electronic-signature-workflow,An electronic-signature workflow,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
an-erp-client,An ERP client,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Business Applications & Browsers
an-exhausted-dhcp-scope,An exhausted DHCP scope,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Servers & Core Infrastructure
an-expired-user-certificate,An expired user certificate,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,medium,Identity & Access Management
an-external-display-on-macos,An external display on macOS,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,macOS Endpoints
an-external-monitor,An external monitor,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Windows Endpoints
an-external-monitor-with-no-signal,An external monitor with no signal,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Hardware & Peripherals
an-http-403-error,An HTTP 403 error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
an-http-404-error,An HTTP 404 error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
an-http-500-error,An HTTP 500 error,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Business Applications & Browsers
an-intune-compliance-failure,An Intune compliance failure,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Windows Endpoints
an-odbc-data-source,An ODBC data source,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Servers & Core Infrastructure
an-office-or-site-wide-outage,An office or site-wide outage,incident_event,high,false,deterministic_v2,Explicit incident/security/outage event language.,critical,Service Desk & ITSM
an-outlook-profile,An Outlook profile,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,Microsoft 365 & Collaboration
an-outlook-pst-file,An Outlook PST file,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Data Protection, Backup & Recovery"
an-rds-session,An RDS session,context,low,true,deterministic_v2,Generic noun/resource phrase with no observable-failure wording; likely environment/context but requires review.,medium,"Remote Access, VDI & DaaS"
and-rebuild-the-teams-cache,Teams cache needs to be rebuilt,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
application-printing,Application printing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Business Applications & Browsers
audio-or-microphone-on-macos,Audio or microphone on macOS,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
blocked-browser-downloads,Blocked browser downloads,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,high,Business Applications & Browsers
blocked-office-macros-safely,Blocked Office macros safely,known_condition,high,false,deterministic_v2,Title states a technical condition/diagnosis rather than an initial observation.,high,Microsoft 365 & Collaboration
bluetooth-devices,Bluetooth devices,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Windows Endpoints
browser-based-collaboration-is-failing,Browser-based collaboration is failing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Google Workspace & Web Collaboration
browser-cache-and-cookies-safely,Browser cache and cookies safely,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Business Applications & Browsers
business-data-is-missing-corrupted-or-requires-recovery,"Business data is missing, corrupted or requires recovery",observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Data Protection, Backup & Recovery"
calendar-permissions,Calendar permissions,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Microsoft 365 & Collaboration
calling-audio-video-or-meeting-room-technology-is-not-working,"Calling, audio, video or meeting-room technology is not working",observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,"Voice, Telephony & Meeting Rooms"
camera-access-on-macos,Camera access on macOS,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,macOS Endpoints
cannot-sign-in,User cannot sign in,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,high,Identity & Access Management
check-domain-controller-health,Check domain controller health,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Servers & Core Infrastructure
chrome-profile-synchronisation,Chrome profile synchronisation,observable_symptom,high,false,deterministic_v2,Title directly describes observable behaviour/failure.,medium,Google Workspace & Web Collaboration
citrix-audio-or-microphone,Citrix audio or microphone,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Remote Access, VDI & DaaS"
citrix-printing,Citrix printing,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Remote Access, VDI & DaaS"
citrix-workspace-sign-in,Citrix Workspace sign-in,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,"Remote Access, VDI & DaaS"
classify-incident-category-and-priority,Classify incident category and priority,service_request,medium,true,deterministic_v2,Imperative action wording; review to confirm request versus event.,medium,Service Desk & ITSM
cloud-application-authentication,Cloud application authentication,observable_symptom,low,true,deterministic_v2,No decisive taxonomy signal; retained as provisional observable symptom pending review.,medium,Cloud & Virtualisation
